stream_id,hand_index,timestamp[ns],x_min[pixel],x_max[pixel],y_min[pixel],y_max[pixel],visibility_ratio[%]
214-1,0,59211074860121,,,,,0.0
214-1,1,59211074860121,,,,,0.0
214-1,0,59211108187501,,,,,0.0
214-1,1,59211108187501,,,,,0.0
214-1,0,59211141548453,,,,,0.0
214-1,1,59211141548453,,,,,0.0
214-1,0,59211176811128,,,,,0.0
214-1,1,59211176811128,,,,,0.0
214-1,0,59211208203414,,,,,0.0
214-1,1,59211208203414,,,,,0.0
214-1,0,59211241530882,,,,,0.0
214-1,1,59211241530882,,,,,0.0
214-1,0,59211274858351,,,,,0.0
214-1,1,59211274858351,,,,,0.0
214-1,0,59211308185801,,,,,0.0
214-1,1,59211308185801,,,,,0.0
214-1,0,59211341546745,,,,,0.0
214-1,1,59211341546745,,,,,0.0
214-1,0,59211374874188,,,,,0.0
214-1,1,59211374874188,,,,,0.0
214-1,0,59211408208292,,,,,0.0
214-1,1,59211408208292,,,,,0.0
214-1,0,59211441535722,,,,,0.0
214-1,1,59211441535722,,,,,0.0
214-1,0,59211474866876,,,,,0.0
214-1,1,59211474866876,,,,,0.0
214-1,0,59211508194305,,,,,0.0
214-1,1,59211508194305,,,,,0.0
214-1,0,59211541521747,,,,,0.0
214-1,1,59211541521747,,,,,0.0
214-1,0,59211574849189,,,,,0.0
214-1,1,59211574849189,,,,,0.0
214-1,0,59211608288331,,,,,0.0
214-1,1,59211608288331,,,,,0.0
214-1,0,59211641619474,,,,,0.0
214-1,1,59211641619474,,,,,0.0
214-1,0,59211674946915,,,,,0.0
214-1,1,59211674946915,,,,,0.0
214-1,0,59211708274358,,,,,0.0
214-1,1,59211708274358,,,,,0.0
214-1,0,59211741601787,,,,,0.0
214-1,1,59211741601787,,,,,0.0
214-1,0,59211774929189,,,,,0.0
214-1,1,59211774929189,,,,,0.0
214-1,0,59211808263923,,,,,0.0
214-1,1,59211808263923,,,,,0.0
214-1,0,59211841595096,,,,,0.0
