timestamp[ns],stream_id,mask
59211074860121,214-1,True
59211074953721,1201-2,True
59211074953733,1201-1,True
59211108187501,214-1,True
59211108281764,1201-2,True
59211108281776,1201-1,True
59211141548453,214-1,True
59211141641878,1201-2,True
59211141641890,1201-1,True
59211174970009,1201-2,True
59211174970021,1201-1,True
59211176811128,214-1,True
59211208203414,214-1,True
59211208298140,1201-2,True
59211208298152,1201-1,True
59211241530882,214-1,True
59211241626270,1201-2,True
59211241626282,1201-1,True
59211274858351,214-1,True
59211274954401,1201-2,True
59211274954413,1201-1,True
59211308185801,214-1,True
59211308282526,1201-2,True
59211308282538,1201-1,True
59211341546745,214-1,True
59211341642634,1201-2,True
59211341642646,1201-1,True
59211374874188,214-1,True
59211374970738,1201-2,True
59211374970750,1201-1,True
59211408208292,214-1,True
59211408298842,1201-2,True
59211408298854,1201-1,True
59211441535722,214-1,True
59211441626947,1201-2,True
59211441626959,1201-1,True
59211474866876,214-1,True
59211474955051,1201-2,True
59211474955063,1201-1,True
59211508194305,214-1,True
59211508283156,1201-2,True
59211508283168,1201-1,True
59211541521747,214-1,True
59211541611260,1201-2,True
59211541611272,1201-1,True
59211574849189,214-1,True
59211574939365,1201-2,True
59211574939377,1201-1,True
59211608288331,214-1,True
59211608379469,1201-2,True
59211608379481,1201-1,True
59211641619474,214-1,True
59211641707574,1201-2,True
59211641707586,1201-1,True
59211674946915,214-1,True
59211675035678,1201-2,True
59211675035690,1201-1,True
59211708274358,214-1,True
59211708363783,1201-2,True
59211708363795,1201-1,True
59211741601787,214-1,True
59211741691887,1201-2,True
59211741691899,1201-1,True
59211774929189,214-1,True
59211775019952,1201-1,True
59211775019952,1201-2,True
59211808263923,214-1,True
59211808347936,1201-2,True
59211808347948,1201-1,True
59211841595096,214-1,True
59211841676072,1201-2,True
59211841676084,1201-1,True
59211874930109,214-1,True
59211875004285,1201-2,True
59211875004297,1201-1,True
59211908242597,214-1,True
59211908332361,1201-2,True
59211908332373,1201-1,True
59211941570011,214-1,True
59211941660436,1201-2,True
59211941660448,1201-1,True
59211974897412,214-1,True
59211974988512,1201-2,True
59211974988524,1201-1,True
59212008227788,214-1,True
59212008316588,1201-2,True
59212008316600,1201-1,True
59212041556554,214-1,True
59212041644654,1201-2,True
59212041644666,1201-1,True
59212074880435,214-1,True
59212074972698,1201-2,True
59212074972710,1201-1,True
59212108205927,214-1,True
59212108300777,1201-2,True
59212108300789,1201-1,True
59212141532556,214-1,True
59212141628856,1201-2,True
59212141628868,1201-1,True
59212174863001,214-1,True
59212174956977,1201-2,True
59212174956989,1201-1,True
59212208193641,214-1,True
59212208285065,1201-2,True
59212208285077,1201-1,True
59212241516144,214-1,True
59212241612946,1201-2,True
59212241612958,1201-1,True
59212274884023,214-1,True
59212274973498,1201-1,True
59212274973498,1201-2,True
59212308210477,214-1,True
59212308301577,1201-2,True
59212308301589,1201-1,True
59212341539056,214-1,True
59212341629656,1201-2,True
59212341629668,1201-1,True
59212374866432,214-1,True
59212374957732,1201-2,True
59212374957744,1201-1,True
59212408193822,214-1,True
59212408285797,1201-2,True
59212408285809,1201-1,True
59212441511975,214-1,True
59212441613863,1201-2,True
59212441613875,1201-1,True
59212476539757,214-1,True
59212476637932,1201-2,True
59212476637944,1201-1,True
59212508275481,214-1,True
59212508365994,1201-2,True
59212508366006,1201-1,True
59212541608710,214-1,True
59212541694060,1201-2,True
59212541694072,1201-1,True
59212574922200,214-1,True
59212575022125,1201-2,True
59212575022137,1201-1,True
59212608263154,214-1,True
59212608350255,1201-2,True
59212608350267,1201-1,True
59212641586813,214-1,True
59212641678538,1201-2,True
59212641678550,1201-1,True
59212674927834,214-1,True
59212675006685,1201-2,True
59212675006697,1201-1,True
59212708237785,214-1,True
59212708334761,1201-2,True
59212708334773,1201-1,True
59212741565161,214-1,True
59212741662836,1201-2,True
59212741662848,1201-1,True
59212774892562,214-1,True
59212774990912,1201-2,True
59212774990924,1201-1,True
59212808219975,214-1,True
59212808318988,1201-2,True
59212808319000,1201-1,True
59212841547379,214-1,True
59212841647054,1201-2,True
59212841647066,1201-1,True
59212874878489,214-1,True
59212874975127,1201-2,True
59212874975139,1201-1,True
59212908206847,214-1,True
59212908303323,1201-2,True
59212908303335,1201-1,True
59212941537593,214-1,True
59212941631519,1201-2,True
59212941631531,1201-1,True
59212974866828,214-1,True
59212974959627,1201-2,True
59212974959639,1201-1,True
59213008187714,214-1,True
59213008287564,1201-2,True
59213008287576,1201-1,True
59213041529766,214-1,True
59213041615741,1201-2,True
59213041615753,1201-1,True
59213074879447,214-1,True
59213074975836,1201-2,True
59213074975848,1201-1,True
59213108210489,214-1,True
59213108303964,1201-2,True
59213108303976,1201-1,True
59213141563704,214-1,True
59213141632092,1201-2,True
59213141632104,1201-1,True
59213174871045,214-1,True
59213174960221,1201-2,True
59213174960233,1201-1,True
59213208288349,1201-2,True
59213208288361,1201-1,True
59213208347549,214-1,True
59213241525707,214-1,True
59213241616432,1201-2,True
59213241616444,1201-1,True
59213274878551,214-1,True
59213274976440,1201-2,True
59213274976452,1201-1,True
59213308206935,214-1,True
59213308304661,1201-2,True
59213308304673,1201-1,True
59213341538106,214-1,True
59213341632869,1201-2,True
59213341632881,1201-1,True
59213374866053,214-1,True
59213374960853,1201-1,True
59213374960853,1201-2,True
59213408194102,214-1,True
59213408288953,1201-2,True
59213408288965,1201-1,True
59213441523327,214-1,True
59213441617052,1201-2,True
59213441617064,1201-1,True
59213476549231,214-1,True
59213476641157,1201-2,True
59213476641169,1201-1,True
59213508276526,214-1,True
59213508369251,1201-1,True
59213508369251,1201-2,True
59213541602000,214-1,True
59213541697351,1201-2,True
59213541697363,1201-1,True
59213574937100,214-1,True
59213575025450,1201-2,True
59213575025462,1201-1,True
59213608260038,214-1,True
59213608353552,1201-2,True
59213608353564,1201-1,True
59213641590487,214-1,True
59213641681663,1201-2,True
59213641681675,1201-1,True
59213674935358,214-1,True
59213675009784,1201-2,True
59213675009796,1201-1,True
59213708208554,214-1,True
59213708337904,1201-2,True
59213708337916,1201-1,True
59213741573225,214-1,True
59213741666025,1201-2,True
59213741666037,1201-1,True
59213774900671,214-1,True
59213774994146,1201-2,True
59213774994158,1201-1,True
59213808231842,214-1,True
59213808322267,1201-2,True
59213808322279,1201-1,True
59213841559287,214-1,True
59213841650388,1201-2,True
59213841650400,1201-1,True
59213874881405,214-1,True
59213874978506,1201-2,True
59213874978518,1201-1,True
59213908216088,214-1,True
59213908306601,1201-2,True
59213908306613,1201-1,True
59213941537180,214-1,True
59213941634655,1201-2,True
59213941634667,1201-1,True
59213974866696,214-1,True
59213974962709,1201-2,True
59213974962721,1201-1,True
59214008198832,214-1,True
59214008290807,1201-2,True
59214008290819,1201-1,True
59214041522369,214-1,True
59214041618969,1201-2,True
59214041618981,1201-1,True
59214074846976,214-1,True
59214074946990,1201-2,True
59214074947002,1201-1,True
59214108212685,214-1,True
59214108307198,1201-2,True
59214108307210,1201-1,True
59214141544994,214-1,True
59214141635294,1201-2,True
59214141635306,1201-1,True
59214174869215,214-1,True
59214174963390,1201-2,True
59214174963402,1201-1,True
59214208198995,214-1,True
59214208291508,1201-2,True
59214208291520,1201-1,True
59214241526275,214-1,True
59214241619663,1201-2,True
59214241619675,1201-1,True
59214274852309,214-1,True
59214274947734,1201-2,True
59214274947746,1201-1,True
59214308229291,214-1,True
59214308323804,1201-2,True
59214308323816,1201-1,True
59214341556706,214-1,True
59214341651931,1201-2,True
59214341651943,1201-1,True
59214374884284,214-1,True
59214374980173,1201-2,True
59214374980185,1201-1,True
59214408211699,214-1,True
59214408308250,1201-2,True
59214408308262,1201-1,True
59214442373228,214-1,True
59214442468329,1201-2,True
59214442468341,1201-1,True
59214475700642,214-1,True
59214475796406,1201-2,True
59214475796418,1201-1,True
59214508279556,214-1,True
59214508372481,1201-2,True
59214508372493,1201-1,True
59214541609920,214-1,True
59214541700558,1201-2,True
