timecode_ns,devicetime_ns
59211074860121,9992363822199
59211074953721,9992363915799
59211074953733,9992363915811
59211108187501,9992397149536
59211108281764,9992397243799
59211108281776,9992397243811
59211141548453,9992430510374
59211141641878,9992430603799
59211141641890,9992430603811
59211174970009,9992463931799
59211174970021,9992463931811
59211176811128,9992465772911
59211208203414,9992497165074
59211208298140,9992497259799
59211208298152,9992497259811
59211241530882,9992530492411
59211241626270,9992530587799
59211241626282,9992530587811
59211274858351,9992563819749
59211274954401,9992563915799
59211274954413,9992563915811
59211308185801,9992597147074
59211308282526,9992597243799
59211308282538,9992597243811
59211341546745,9992630507911
59211341642634,9992630603799
59211341642646,9992630603811
59211374874188,9992663835249
59211374970738,9992663931799
59211374970750,9992663931811
59211408208292,9992697169249
59211408298842,9992697259799
59211408298854,9992697259811
59211441535722,9992730496574
59211441626947,9992730587799
59211441626959,9992730587811
59211474866876,9992763827624
59211474955051,9992763915799
59211474955063,9992763915811
59211508194305,9992797154949
59211508283156,9992797243799
59211508283168,9992797243811
59211541521747,9992830482286
59211541611260,9992830571799
59211541611272,9992830571811
59211574849189,9992863809624
59211574939365,9992863899799
59211574939377,9992863899811
59211608288331,9992897248661
59211608379469,9992897339799
59211608379481,9992897339811
59211641619474,9992930579699
59211641707574,9992930667799
59211641707586,9992930667811
59211674946915,9992963907036
59211675035678,9992963995799
59211675035690,9992963995811
59211708274358,9992997234374
59211708363783,9992997323799
59211708363795,9992997323811
59211741601787,9993030561699
59211741691887,9993030651799
59211741691899,9993030651811
59211774929189,9993063889036
59211775019952,9993063979799
59211808263923,9993097223786
59211808347936,9993097307799
59211808347948,9993097307811
59211841595096,9993130554824
59211841676072,9993130635799
59211841676084,9993130635811
59211874930109,9993163889624
59211875004285,9993163963799
59211875004297,9993163963811
59211908242597,9993197202036
59211908332361,9993197291800
59211908332373,9993197291812
59211941570011,9993230529374
59211941660436,9993230619799
59211941660448,9993230619811
59211974897412,9993263856699
59211974988512,9993263947799
59211974988524,9993263947811
59212008227788,9993297186999
59212008316588,9993297275799
59212008316600,9993297275811
59212041556554,9993330515699
59212041644654,9993330603799
59212041644666,9993330603811
59212074880435,9993363839536
59212074972698,9993363931799
59212074972710,9993363931811
59212108205927,9993397164949
59212108300777,9993397259799
59212108300789,9993397259811
59212141532556,9993430491499
59212141628856,9993430587799
59212141628868,9993430587811
59212174863001,9993463821824
59212174956977,9993463915799
59212174956989,9993463915811
59212208193641,9993497152374
59212208285065,9993497243799
59212208285077,9993497243811
59212241516144,9993530474999
59212241612946,9993530571799
